"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"OQ821741","1683","Human","5 (NP)","","Italy","N","2023/02/21","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14158/2023)","","","","","","c"
"OQ821742","1027","Human","8 (NS)","","Italy","N","2023/02/21","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14158/2023)","","","","","","c"
"OQ821743","2181","Human","3 (PA)","","Italy","N","2023/02/21","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14158/2023)","","","","","","c"
"OQ821744","2259","Human","1 (PB1)","","Italy","N","2023/02/21","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14158/2023)","","","","","","c"
"OQ821745","2313","Human","2 (PB2)","","Italy","N","2023/02/21","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14158/2023)","","","","","","c"
"OQ821747","1076","Human","7 (MP)","","Italy","N","2023/02/27","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14159/2023)","","","","","","c"
"OQ821751","2181","Human","3 (PA)","","Italy","N","2023/02/27","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14159/2023)","","","","","","c"
"OQ202383","2367","Human","2 (PB2)","","USA","N","2022/10/15","Influenza B virus (B/Georgia/01/2022)","","","","","","c"
"OQ202384","2340","Human","1 (PB1)","","USA","N","2022/10/15","Influenza B virus (B/Georgia/01/2022)","","","","","","c"
"OQ202385","2275","Human","3 (PA)","","USA","N","2022/10/15","Influenza B virus (B/Georgia/01/2022)","","","","","","c"
"OQ202386","1847","Human","4 (HA)","","USA","N","2022/10/15","Influenza B virus (B/Georgia/01/2022)","","","","","","c"
"OQ202387","1815","Human","5 (NP)","","USA","N","2022/10/15","Influenza B virus (B/Georgia/01/2022)","","","","","","c"
"OQ202388","1528","Human","6 (NA)","","USA","N","2022/10/15","Influenza B virus (B/Georgia/01/2022)","","","","","","c"
"OQ202389","1154","Human","7 (MP)","","USA","N","2022/10/15","Influenza B virus (B/Georgia/01/2022)","","","","","","c"
"OQ202390","1066","Human","8 (NS)","","USA","N","2022/10/15","Influenza B virus (B/Georgia/01/2022)","","","","","","c"
"OQ997634","2340","Human","1 (PB1)","","USA","N","2023/02/02","Influenza B virus (B/Georgia/01/2023)","","","","","","c"
"OQ997635","2275","Human","3 (PA)","","USA","N","2023/02/02","Influenza B virus (B/Georgia/01/2023)","","","","","","c"
"OQ997636","1847","Human","4 (HA)","","USA","N","2023/02/02","Influenza B virus (B/Georgia/01/2023)","","","","","","c"
"OQ997638","1528","Human","6 (NA)","","USA","N","2023/02/02","Influenza B virus (B/Georgia/01/2023)","","","","","","c"
"OQ997640","1066","Human","8 (NS)","","USA","N","2023/02/02","Influenza B virus (B/Georgia/01/2023)","","","","","","c"
"OQ997641","2367","Human","2 (PB2)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997642","2340","Human","1 (PB1)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997643","2275","Human","3 (PA)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997645","1815","Human","5 (NP)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997646","1528","Human","6 (NA)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997647","1154","Human","7 (MP)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997649","2367","Human","2 (PB2)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997651","2275","Human","3 (PA)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997655","1154","Human","7 (MP)","","USA","N","2023/02/05","Influenza B virus (B/Georgia/02/2023)","","","","","","c"
"OQ997657","2367","Human","2 (PB2)","","USA","N","2023/03/03","Influenza B virus (B/Georgia/05/2023)","","","","","","c"
"OQ997658","2340","Human","1 (PB1)","","USA","N","2023/03/03","Influenza B virus (B/Georgia/05/2023)","","","","","","c"
"OQ997659","2275","Human","3 (PA)","","USA","N","2023/03/03","Influenza B virus (B/Georgia/05/2023)","","","","","","c"
"OQ997662","1528","Human","6 (NA)","","USA","N","2023/03/03","Influenza B virus (B/Georgia/05/2023)","","","","","","c"
"OQ997667","2275","Human","3 (PA)","","USA","N","2023/03/03","Influenza B virus (B/Georgia/05/2023)","","","","","","c"
"OQ997689","2367","Human","2 (PB2)","","USA","N","2023/01/25","Influenza B virus (B/Hawaii/01/2023)","","","","","","c"
"OQ997690","2340","Human","1 (PB1)","","USA","N","2023/01/25","Influenza B virus (B/Hawaii/01/2023)","","","","","","c"
"OQ997691","2275","Human","3 (PA)","","USA","N","2023/01/25","Influenza B virus (B/Hawaii/01/2023)","","","","","","c"
"OQ997692","1847","Human","4 (HA)","","USA","N","2023/01/25","Influenza B virus (B/Hawaii/01/2023)","","","","","","c"
"OQ997693","1815","Human","5 (NP)","","USA","N","2023/01/25","Influenza B virus (B/Hawaii/01/2023)","","","","","","c"
"OQ997694","1528","Human","6 (NA)","","USA","N","2023/01/25","Influenza B virus (B/Hawaii/01/2023)","","","","","","c"
"OQ997695","1154","Human","7 (MP)","","USA","N","2023/01/25","Influenza B virus (B/Hawaii/01/2023)","","","","","","c"
"OQ997696","1066","Human","8 (NS)","","USA","N","2023/01/25","Influenza B virus (B/Hawaii/01/2023)","","","","","","c"
"OQ034631","2369","Human","1 (PB1)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Bangladesh_2006_P5/2022)","","","","","","c"
"OQ034632","2396","Human","2 (PB2)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Bangladesh_2006_P5/2022)","","","","","","c"
"OQ034633","2305","Human","3 (PA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Bangladesh_2006_P5/2022)","","","","","","c"
"OQ034634","1885","Human","4 (HA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Bangladesh_2006_P5/2022)","","","","","","c"
"OQ034635","1844","Human","5 (NP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Bangladesh_2006_P5/2022)","","","","","","c"
"OQ034636","1558","Human","6 (NA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Bangladesh_2006_P5/2022)","","","","","","c"
"OQ034637","1189","Human","7 (MP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Bangladesh_2006_P5/2022)","","","","","","c"
"OQ034638","1097","Human","8 (NS)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Bangladesh_2006_P5/2022)","","","","","","c"
"OQ034421","2369","Human","1 (PB1)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/FL_2006_MA_P5/2022)","","","","","","c"
"OQ034422","2397","Human","2 (PB2)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/FL_2006_MA_P5/2022)","","","","","","c"
"OQ034423","2305","Human","3 (PA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/FL_2006_MA_P5/2022)","","","","","","c"
"OQ034424","1882","Human","4 (HA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/FL_2006_MA_P5/2022)","","","","","","c"
"OQ034425","1844","Human","5 (NP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/FL_2006_MA_P5/2022)","","","","","","c"
"OQ034426","1557","Human","6 (NA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/FL_2006_MA_P5/2022)","","","","","","c"
"OQ034427","1190","Human","7 (MP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/FL_2006_MA_P5/2022)","","","","","","c"
"OQ034428","1097","Human","8 (NS)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/FL_2006_MA_P5/2022)","","","","","","c"
"OQ034357","2369","Human","1 (PB1)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Great_Lakes_1954_P5/2022)","","","","","","c"
"OQ034358","2396","Human","2 (PB2)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Great_Lakes_1954_P5/2022)","","","","","","c"
"OQ034359","2307","Human","3 (PA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Great_Lakes_1954_P5/2022)","","","","","","c"
"OQ034360","1876","Human","4 (HA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Great_Lakes_1954_P5/2022)","","","","","","c"
"OQ034361","1842","Human","5 (NP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Great_Lakes_1954_P5/2022)","","","","","","c"
"OQ034362","1557","Human","6 (NA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Great_Lakes_1954_P5/2022)","","","","","","c"
"OQ034363","1190","Human","7 (MP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Great_Lakes_1954_P5/2022)","","","","","","c"
"OQ034364","1096","Human","8 (NS)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Great_Lakes_1954_P5/2022)","","","","","","c"
"OQ034405","2369","Human","1 (PB1)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Malaysia_2004_MA_P5/2022)","","","","","","c"
"OQ034406","2396","Human","2 (PB2)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Malaysia_2004_MA_P5/2022)","","","","","","c"
"OQ034407","2305","Human","3 (PA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Malaysia_2004_MA_P5/2022)","","","","","","c"
"OQ034408","1884","Human","4 (HA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Malaysia_2004_MA_P5/2022)","","","","","","c"
"OQ034409","1844","Human","5 (NP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Malaysia_2004_MA_P5/2022)","","","","","","c"
"OQ034410","1557","Human","6 (NA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Malaysia_2004_MA_P5/2022)","","","","","","c"
"OQ034411","1190","Human","7 (MP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Malaysia_2004_MA_P5/2022)","","","","","","c"
"OQ034412","1098","Human","8 (NS)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Malaysia_2004_MA_P5/2022)","","","","","","c"
"OQ034381","2369","Human","1 (PB1)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Michigan_1971_P5/2022)","","","","","","c"
"OQ034382","2396","Human","2 (PB2)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Michigan_1971_P5/2022)","","","","","","c"
"OQ034383","2308","Human","3 (PA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Michigan_1971_P5/2022)","","","","","","c"
"OQ034384","1878","Human","4 (HA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Michigan_1971_P5/2022)","","","","","","c"
"OQ034385","1842","Human","5 (NP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Michigan_1971_P5/2022)","","","","","","c"
"OQ034386","1557","Human","6 (NA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Michigan_1971_P5/2022)","","","","","","c"
"OQ034387","1190","Human","7 (MP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Michigan_1971_P5/2022)","","","","","","c"
"OQ034388","1098","Human","8 (NS)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Michigan_1971_P5/2022)","","","","","","c"
"OQ023562","2181","Human","3 (PA)","","USA","N","2022/09/23","Influenza B virus (B/Human/New York City/PV63253/2022)","","","","","","c"
"OQ023563","1749","Human","4 (HA)","","USA","N","2022/09/23","Influenza B virus (B/Human/New York City/PV63253/2022)","","","","","","c"
"OQ023564","1683","Human","5 (NP)","","USA","N","2022/09/23","Influenza B virus (B/Human/New York City/PV63253/2022)","","","","","","c"
"OQ023565","1408","Human","6 (NA)","","USA","N","2022/09/23","Influenza B virus (B/Human/New York City/PV63253/2022)","","","","","","c"
"OQ023566","1076","Human","7 (MP)","","USA","N","2022/09/23","Influenza B virus (B/Human/New York City/PV63253/2022)","","","","","","c"
"OQ023567","1027","Human","8 (NS)","","USA","N","2022/09/23","Influenza B virus (B/Human/New York City/PV63253/2022)","","","","","","c"
"OQ024186","2259","Human","1 (PB1)","","USA","N","2022/09/23","Influenza B virus (B/Human/New York City/PV63253/2022)","","","","","","c"
"OQ024187","2313","Human","2 (PB2)","","USA","N","2022/09/23","Influenza B virus (B/Human/New York City/PV63253/2022)","","","","","","c"
"OQ034461","2369","Human","1 (PB1)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Pennsylvania_2007_P5/2022)","","","","","","c"
"OQ034462","2396","Human","2 (PB2)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Pennsylvania_2007_P5/2022)","","","","","","c"
"OQ034463","2305","Human","3 (PA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Pennsylvania_2007_P5/2022)","","","","","","c"
"OQ034464","1885","Human","4 (HA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Pennsylvania_2007_P5/2022)","","","","","","c"
"OQ034465","1844","Human","5 (NP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Pennsylvania_2007_P5/2022)","","","","","","c"
"OQ034466","1557","Human","6 (NA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Pennsylvania_2007_P5/2022)","","","","","","c"
"OQ034467","1189","Human","7 (MP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Pennsylvania_2007_P5/2022)","","","","","","c"
"OQ034468","1098","Human","8 (NS)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Pennsylvania_2007_P5/2022)","","","","","","c"
"OQ034429","2369","Human","1 (PB1)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Yamagata_1988_P5/2022)","","","","","","c"
"OQ034430","2396","Human","2 (PB2)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Yamagata_1988_P5/2022)","","","","","","c"
"OQ034431","2308","Human","3 (PA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Yamagata_1988_P5/2022)","","","","","","c"
"OQ034432","1879","Human","4 (HA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Yamagata_1988_P5/2022)","","","","","","c"
"OQ034433","1844","Human","5 (NP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Yamagata_1988_P5/2022)","","","","","","c"
"OQ034434","1557","Human","6 (NA)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Yamagata_1988_P5/2022)","","","","","","c"
"OQ034435","1190","Human","7 (MP)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Yamagata_1988_P5/2022)","","","","","","c"
"OQ034436","1096","Human","8 (NS)","","USA","N","2022/11/06","Influenza B virus (B/Human/New York City/Yamagata_1988_P5/2022)","","","","","","c"
"OQ661705","2367","Human","2 (PB2)","","USA","N","2022/12/14","Influenza B virus (B/Idaho/01/2022)","","","","","","c"
"OQ661706","2340","Human","1 (PB1)","","USA","N","2022/12/14","Influenza B virus (B/Idaho/01/2022)","","","","","","c"
"OQ661707","2275","Human","3 (PA)","","USA","N","2022/12/14","Influenza B virus (B/Idaho/01/2022)","","","","","","c"
"OQ661708","1847","Human","4 (HA)","","USA","N","2022/12/14","Influenza B virus (B/Idaho/01/2022)","","","","","","c"
"OQ661709","1815","Human","5 (NP)","","USA","N","2022/12/14","Influenza B virus (B/Idaho/01/2022)","","","","","","c"
"OQ661710","1528","Human","6 (NA)","","USA","N","2022/12/14","Influenza B virus (B/Idaho/01/2022)","","","","","","c"
"OQ661711","1154","Human","7 (MP)","","USA","N","2022/12/14","Influenza B virus (B/Idaho/01/2022)","","","","","","c"
"OQ997705","2367","Human","2 (PB2)","","USA","N","2022/12/31","Influenza B virus (B/Iowa/01/2022)","","","","","","c"
"OQ997706","2340","Human","1 (PB1)","","USA","N","2022/12/31","Influenza B virus (B/Iowa/01/2022)","","","","","","c"
"OQ997707","2275","Human","3 (PA)","","USA","N","2022/12/31","Influenza B virus (B/Iowa/01/2022)","","","","","","c"
"OQ997708","1847","Human","4 (HA)","","USA","N","2022/12/31","Influenza B virus (B/Iowa/01/2022)","","","","","","c"
"OQ997712","1066","Human","8 (NS)","","USA","N","2022/12/31","Influenza B virus (B/Iowa/01/2022)","","","","","","c"
"OQ997721","2367","Human","2 (PB2)","","USA","N","2023/01/08","Influenza B virus (B/Iowa/01/2023)","","","","","","c"
"OQ997722","2340","Human","1 (PB1)","","USA","N","2023/01/08","Influenza B virus (B/Iowa/01/2023)","","","","","","c"
"OQ997723","2275","Human","3 (PA)","","USA","N","2023/01/08","Influenza B virus (B/Iowa/01/2023)","","","","","","c"
"OQ997724","1847","Human","4 (HA)","","USA","N","2023/01/08","Influenza B virus (B/Iowa/01/2023)","","","","","","c"
"OQ997725","1814","Human","5 (NP)","","USA","N","2023/01/08","Influenza B virus (B/Iowa/01/2023)","","","","","","c"
"OQ997726","1528","Human","6 (NA)","","USA","N","2023/01/08","Influenza B virus (B/Iowa/01/2023)","","","","","","c"
"OQ997727","1154","Human","7 (MP)","","USA","N","2023/01/08","Influenza B virus (B/Iowa/01/2023)","","","","","","c"
"OQ997728","1066","Human","8 (NS)","","USA","N","2023/01/08","Influenza B virus (B/Iowa/01/2023)","","","","","","c"
"OQ997729","2367","Human","2 (PB2)","","USA","N","2023/01/10","Influenza B virus (B/Iowa/02/2023)","","","","","","c"
"OQ997732","1847","Human","4 (HA)","","USA","N","2023/01/10","Influenza B virus (B/Iowa/02/2023)","","","","","","c"
"OQ997745","2367","Human","2 (PB2)","","USA","N","2023/01/12","Influenza B virus (B/Iowa/03/2023)","","","","","","c"
"OQ997746","2340","Human","1 (PB1)","","USA","N","2023/01/12","Influenza B virus (B/Iowa/03/2023)","","","","","","c"
"OQ997747","2275","Human","3 (PA)","","USA","N","2023/01/12","Influenza B virus (B/Iowa/03/2023)","","","","","","c"
"OQ997748","1847","Human","4 (HA)","","USA","N","2023/01/12","Influenza B virus (B/Iowa/03/2023)","","","","","","c"
"OQ997749","1815","Human","5 (NP)","","USA","N","2023/01/12","Influenza B virus (B/Iowa/03/2023)","","","","","","c"
"OQ997750","1529","Human","6 (NA)","","USA","N","2023/01/12","Influenza B virus (B/Iowa/03/2023)","","","","","","c"
"OQ997751","1154","Human","7 (MP)","","USA","N","2023/01/12","Influenza B virus (B/Iowa/03/2023)","","","","","","c"
"OQ997752","1066","Human","8 (NS)","","USA","N","2023/01/12","Influenza B virus (B/Iowa/03/2023)","","","","","","c"
"OQ997753","2367","Human","2 (PB2)","","USA","N","2023/01/26","Influenza B virus (B/Iowa/04/2023)","","","","","","c"
"OQ997757","1815","Human","5 (NP)","","USA","N","2023/01/26","Influenza B virus (B/Iowa/04/2023)","","","","","","c"
"OQ997758","1528","Human","6 (NA)","","USA","N","2023/01/26","Influenza B virus (B/Iowa/04/2023)","","","","","","c"
"OQ997785","2367","Human","2 (PB2)","","USA","N","2023/02/11","Influenza B virus (B/Iowa/06/2023)","","","","","","c"
"OQ997786","2340","Human","1 (PB1)","","USA","N","2023/02/11","Influenza B virus (B/Iowa/06/2023)","","","","","","c"
"OQ997787","2275","Human","3 (PA)","","USA","N","2023/02/11","Influenza B virus (B/Iowa/06/2023)","","","","","","c"
"OQ997788","1847","Human","4 (HA)","","USA","N","2023/02/11","Influenza B virus (B/Iowa/06/2023)","","","","","","c"
"OQ997789","1815","Human","5 (NP)","","USA","N","2023/02/11","Influenza B virus (B/Iowa/06/2023)","","","","","","c"
"OQ997790","1528","Human","6 (NA)","","USA","N","2023/02/11","Influenza B virus (B/Iowa/06/2023)","","","","","","c"
"OQ997791","1154","Human","7 (MP)","","USA","N","2023/02/11","Influenza B virus (B/Iowa/06/2023)","","","","","","c"
"OQ997792","1066","Human","8 (NS)","","USA","N","2023/02/11","Influenza B virus (B/Iowa/06/2023)","","","","","","c"
"OQ997809","2367","Human","2 (PB2)","","USA","N","2023/02/23","Influenza B virus (B/Iowa/08/2023)","","","","","","c"
"OQ997810","2340","Human","1 (PB1)","","USA","N","2023/02/23","Influenza B virus (B/Iowa/08/2023)","","","","","","c"
"OQ997811","2275","Human","3 (PA)","","USA","N","2023/02/23","Influenza B virus (B/Iowa/08/2023)","","","","","","c"
"OQ997812","1847","Human","4 (HA)","","USA","N","2023/02/23","Influenza B virus (B/Iowa/08/2023)","","","","","","c"
"OQ997813","1815","Human","5 (NP)","","USA","N","2023/02/23","Influenza B virus (B/Iowa/08/2023)","","","","","","c"
"OQ997817","2367","Human","2 (PB2)","","USA","N","2023/02/23","Influenza B virus (B/Iowa/08/2023)","","","","","","c"
"OQ997818","2340","Human","1 (PB1)","","USA","N","2023/02/23","Influenza B virus (B/Iowa/08/2023)","","","","","","c"
"OQ997394","1847","Human","4 (HA)","","USA","N","2023/02/17","Influenza B virus (B/Kansas/01/2023)","","","","","","c"
"OQ997395","1808","Human","5 (NP)","","USA","N","2023/02/17","Influenza B virus (B/Kansas/01/2023)","","","","","","c"
"OQ997396","1524","Human","6 (NA)","","USA","N","2023/02/17","Influenza B virus (B/Kansas/01/2023)","","","","","","c"
"OQ997397","1154","Human","7 (MP)","","USA","N","2023/02/17","Influenza B virus (B/Kansas/01/2023)","","","","","","c"
"OQ997398","1066","Human","8 (NS)","","USA","N","2023/02/17","Influenza B virus (B/Kansas/01/2023)","","","","","","c"
"OQ997399","2275","Human","3 (PA)","","USA","N","2023/02/23","Influenza B virus (B/Kansas/02/2023)","","","","","","c"
"OQ997401","1815","Human","5 (NP)","","USA","N","2023/02/23","Influenza B virus (B/Kansas/02/2023)","","","","","","c"
"OQ997402","1528","Human","6 (NA)","","USA","N","2023/02/23","Influenza B virus (B/Kansas/02/2023)","","","","","","c"
"OQ236660","2367","Human","2 (PB2)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ236661","2340","Human","1 (PB1)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ236662","2275","Human","3 (PA)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ236663","1847","Human","4 (HA)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ236664","1815","Human","5 (NP)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ236665","1528","Human","6 (NA)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ236666","1154","Human","7 (MP)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ236667","1066","Human","8 (NS)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ661713","2367","Human","2 (PB2)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ661717","1815","Human","5 (NP)","","USA","N","2022/11/02","Influenza B virus (B/Maine/01/2022)","","","","","","c"
"OQ236668","2367","Human","2 (PB2)","","USA","N","2022/10/27","Influenza B virus (B/Massachusetts/01/2022)","","","","","","c"
"OQ236669","2340","Human","1 (PB1)","","USA","N","2022/10/27","Influenza B virus (B/Massachusetts/01/2022)","","","","","","c"
"OQ236670","2275","Human","3 (PA)","","USA","N","2022/10/27","Influenza B virus (B/Massachusetts/01/2022)","","","","","","c"
"OQ236671","1847","Human","4 (HA)","","USA","N","2022/10/27","Influenza B virus (B/Massachusetts/01/2022)","","","","","","c"
"OQ236672","1815","Human","5 (NP)","","USA","N","2022/10/27","Influenza B virus (B/Massachusetts/01/2022)","","","","","","c"
"OQ236673","1528","Human","6 (NA)","","USA","N","2022/10/27","Influenza B virus (B/Massachusetts/01/2022)","","","","","","c"
"OQ236674","1154","Human","7 (MP)","","USA","N","2022/10/27","Influenza B virus (B/Massachusetts/01/2022)","","","","","","c"
"OQ236675","1066","Human","8 (NS)","","USA","N","2022/10/27","Influenza B virus (B/Massachusetts/01/2022)","","","","","","c"
"OQ661721","2367","Human","2 (PB2)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ661722","2340","Human","1 (PB1)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ661723","2275","Human","3 (PA)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ661724","1847","Human","4 (HA)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ661725","1815","Human","5 (NP)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ661726","1529","Human","6 (NA)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ661727","1154","Human","7 (MP)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ661728","1066","Human","8 (NS)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ661733","1529","Human","6 (NA)","","USA","N","2022/11/28","Influenza B virus (B/Massachusetts/02/2022)","","","","","","c"
"OQ202391","2367","Human","2 (PB2)","","USA","N","2022/10/23","Influenza B virus (B/Michigan/01/2022)","","","","","","c"
"OQ202392","2340","Human","1 (PB1)","","USA","N","2022/10/23","Influenza B virus (B/Michigan/01/2022)","","","","","","c"
"OQ202393","2275","Human","3 (PA)","","USA","N","2022/10/23","Influenza B virus (B/Michigan/01/2022)","","","","","","c"
"OQ202394","1847","Human","4 (HA)","","USA","N","2022/10/23","Influenza B virus (B/Michigan/01/2022)","","","","","","c"
"OQ202395","1815","Human","5 (NP)","","USA","N","2022/10/23","Influenza B virus (B/Michigan/01/2022)","","","","","","c"
"OQ202396","1529","Human","6 (NA)","","USA","N","2022/10/23","Influenza B virus (B/Michigan/01/2022)","","","","","","c"
"OQ202397","1154","Human","7 (MP)","","USA","N","2022/10/23","Influenza B virus (B/Michigan/01/2022)","","","","","","c"
"OQ202398","1066","Human","8 (NS)","","USA","N","2022/10/23","Influenza B virus (B/Michigan/01/2022)","","","","","","c"
"OQ997825","2367","Human","2 (PB2)","","USA","N","2023/01/06","Influenza B virus (B/Michigan/01/2023)","","","","","","c"
"OQ997826","2340","Human","1 (PB1)","","USA","N","2023/01/06","Influenza B virus (B/Michigan/01/2023)","","","","","","c"
"OQ997827","2275","Human","3 (PA)","","USA","N","2023/01/06","Influenza B virus (B/Michigan/01/2023)","","","","","","c"
"OQ997828","1847","Human","4 (HA)","","USA","N","2023/01/06","Influenza B virus (B/Michigan/01/2023)","","","","","","c"
"OQ997829","1815","Human","5 (NP)","","USA","N","2023/01/06","Influenza B virus (B/Michigan/01/2023)","","","","","","c"
"OQ997830","1529","Human","6 (NA)","","USA","N","2023/01/06","Influenza B virus (B/Michigan/01/2023)","","","","","","c"
"OQ997831","1154","Human","7 (MP)","","USA","N","2023/01/06","Influenza B virus (B/Michigan/01/2023)","","","","","","c"
"OQ997832","1067","Human","8 (NS)","","USA","N","2023/01/06","Influenza B virus (B/Michigan/01/2023)","","","","","","c"
"OQ202399","2367","Human","2 (PB2)","","USA","N","2022/10/17","Influenza B virus (B/Michigan/02/2022)","","","","","","c"
"OQ202400","2340","Human","1 (PB1)","","USA","N","2022/10/17","Influenza B virus (B/Michigan/02/2022)","","","","","","c"
"OQ202401","2275","Human","3 (PA)","","USA","N","2022/10/17","Influenza B virus (B/Michigan/02/2022)","","","","","","c"
"OQ202402","1847","Human","4 (HA)","","USA","N","2022/10/17","Influenza B virus (B/Michigan/02/2022)","","","","","","c"
